,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11
#CLASS,Control,Control,Control,Control,Control,Control,Control,Control,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected
ENSG00000117009,24,25,50,14,6,20,30,17,33,10,73,31,33,16,28,273,22
ENSG00000117010,9,33,11,10,5,11,10,13,31,15,2,13,14,2,13,23,4
ENSG00000117013,2,2,9,73,3,0,5,12,10,7,4,3,2,6,6,28,3
ENSG00000117016,10,3,20,4,2,5,7,4,7,4,6,5,4,4,10,23,7
ENSG00000117020,18,4,29,10,3,8,17,13,10,5,4,22,7,6,22,63,13
ENSG00000117036,35,20,36,44,10,20,44,9,47,28,30,47,47,17,39,57,32
ENSG00000117054,74,42,95,88,32,42,89,34,66,55,72,74,90,32,140,204,80
ENSG00000117069,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000117090,16,29,18,14,13,19,30,13,20,20,27,112,24,14,25,117,18
ENSG00000117091,1241,1895,1633,2200,959,2099,2694,1699,1825,1242,2027,3619,1885,1595,3423,5540,1715
ENSG00000117114,0,0,0,0,0,4,5,0,0,0,2,6,3,0,6,20,0
ENSG00000117115,152,199,189,204,239,92,184,382,645,370,127,230,335,208,439,642,476
ENSG00000117118,817,622,1484,820,442,480,701,436,915,459,502,839,529,440,818,1250,599
ENSG00000117122,128,2,244,0,1,2,3,7,1,1,0,4,2,0,5,490,3
ENSG00000117133,232,105,367,124,86,108,143,140,99,106,221,180,110,113,218,351,123
ENSG00000117139,12,9,30,23,7,6,14,11,19,13,10,13,13,8,22,32,13
ENSG00000117143,48,19,123,13,8,11,28,8,29,9,24,35,22,17,43,104,26
ENSG00000117148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000117151,111,80,113,78,40,96,101,47,111,92,77,233,116,80,253,153,157
ENSG00000117152,53,1,125,0,0,0,0,0,0,0,0,1,1,0,1,3,61
ENSG00000117153,102,45,169,107,41,56,93,33,121,76,72,120,99,36,125,146,88
ENSG00000117154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
ENSG00000117155,18,10,41,92,7,10,25,21,51,15,15,20,21,11,26,33,23
ENSG00000117174,16,10,19,8,5,10,16,8,16,12,16,26,17,9,14,41,13
ENSG00000117215,2,1,3,2,3,2,2,2,0,1,8,1,4,5,0,9,1
ENSG00000117222,46,22,71,32,12,23,47,19,43,40,29,73,50,19,48,64,39
ENSG00000117226,18,35,33,23,15,40,89,10,20,8,72,170,69,47,102,99,59
ENSG00000117228,156,35,260,36,26,71,94,12,33,26,101,900,95,57,78,281,40
ENSG00000117245,16,0,1,2,1,2,1,0,1,2,1,11,2,2,0,22,2
ENSG00000117262,80,46,125,179,26,42,83,52,73,34,42,108,34,51,96,135,32
ENSG00000117266,46,9,101,9,14,20,23,20,14,27,17,30,33,20,32,139,13
ENSG00000117280,157,51,199,53,37,105,292,36,100,115,96,199,153,82,218,193,95
ENSG00000117281,41,63,104,29,37,82,17,43,24,98,36,46,41,140,244,169,69
ENSG00000117289,55,34,81,108,22,48,51,6,65,360,70,180,216,60,71,510,81
ENSG00000117298,378,158,737,295,206,269,486,311,503,342,269,796,433,269,477,733,444
